_id,code_universite,code_etablissement,code_domaine,inscrits_f,inscrits_m,annee
1,3,312,71,37,1,2021
2,3,312,71,23,3,2021
3,3,312,71,31,0,2021
4,3,312,71,0,0,2021
5,3,312,71,32,3,2021
6,3,312,71,30,1,2021
7,3,312,71,30,0,2021
8,3,312,71,31,3,2021
9,3,312,71,36,0,2021
10,3,312,72,42,0,2021
11,3,312,71,26,4,2021
12,3,312,71,2,7,2021
13,3,312,71,17,5,2021
14,3,312,71,21,3,2021
15,3,312,71,33,1,2021
16,3,312,71,25,0,2021
17,3,312,71,31,2,2021
18,3,312,71,29,0,2021
19,3,312,71,27,2,2021
20,3,312,72,38,0,2021
21,3,312,71,24,6,2021
22,3,312,71,12,7,2021
23,3,312,71,33,4,2021
24,3,312,71,31,4,2021
25,3,312,71,7,2,2021
26,3,312,71,7,3,2021
27,3,312,71,23,3,2021
28,3,312,71,14,1,2021
29,3,312,71,15,0,2021
30,3,312,71,39,3,2021
31,3,312,71,22,1,2021
32,3,312,71,40,0,2021
33,3,312,71,24,3,2021
34,3,312,72,26,1,2021
35,3,312,71,33,6,2021
36,3,312,71,11,9,2021
37,3,312,71,18,1,2021
38,3,312,71,14,0,2021
39,3,312,71,16,1,2021
40,3,312,71,30,4,2021
41,3,312,71,23,7,2021
42,3,312,71,25,3,2021
43,3,311,52,29,26,2021
44,3,311,53,31,28,2021
45,3,311,53,9,6,2021
46,3,311,53,36,24,2021
47,3,311,53,18,32,2021
48,3,311,42,25,23,2021
49,3,311,53,11,10,2021
50,3,311,53,4,13,2021
51,3,311,53,24,22,2021
52,3,311,52,36,24,2021
53,3,311,53,29,28,2021
54,3,311,53,3,4,2021
55,3,311,53,25,31,2021
56,3,311,53,21,33,2021
57,3,311,42,22,24,2021
58,3,311,53,7,12,2021
59,3,311,53,11,14,2021
60,3,311,53,26,16,2021
61,3,311,52,26,33,2021
62,3,311,53,34,20,2021
63,3,311,53,7,5,2021
64,3,311,53,27,18,2021
65,3,311,53,19,30,2021
66,3,311,42,12,16,2021
67,3,311,53,7,10,2021
68,3,311,53,10,16,2021
69,3,311,53,17,14,2021
70,3,311,53,12,3,2021
71,3,311,52,6,3,2021
72,3,311,42,20,17,2021
73,3,311,31,7,1,2021
74,3,311,53,23,9,2021
75,3,311,41,12,7,2021
76,3,311,42,9,7,2021
77,3,311,53,3,7,2021
78,3,311,53,10,15,2021
79,3,311,53,8,8,2021
80,3,311,42,20,21,2021
81,3,311,53,14,4,2021
82,3,311,31,8,12,2021
83,3,311,52,2,0,2021
84,3,311,53,8,8,2021
85,3,311,53,4,0,2021
86,3,311,53,3,11,2021
87,3,311,41,2,7,2021
88,3,311,52,2,3,2021
89,3,311,53,3,5,2021
90,3,311,53,2,0,2021
91,3,311,53,2,7,2021
92,3,311,41,3,1,2021
93,3,311,53,7,1,2021
94,3,311,52,3,1,2021
95,3,311,53,7,6,2021
96,3,311,53,4,1,2021
97,3,311,53,2,1,2021
98,3,311,41,8,1,2021
99,3,311,53,9,0,2021
100,3,311,53,3,1,2021
101,3,311,53,3,1,2021
102,3,311,53,2,0,2021
103,3,311,53,1,2,2021
104,3,311,53,6,2,2021
105,3,311,53,2,0,2021
106,3,311,53,2,5,2021
107,3,311,41,1,1,2021
108,3,311,53,4,2,2021
109,3,311,41,6,0,2021
110,3,310,53,53,141,2021
111,3,310,53,70,159,2021
112,3,310,53,49,63,2021
113,3,310,53,73,95,2021
114,3,310,53,61,33,2021
115,3,310,53,77,28,2021
116,3,307,62,24,5,2021
117,3,307,62,55,9,2021
118,3,307,71,98,28,2021
119,3,307,71,65,10,2021
120,3,307,71,17,3,2021
121,3,307,71,16,4,2021
122,3,307,71,19,2,2021
123,3,307,71,22,1,2021
124,3,307,71,48,4,2021
125,3,307,71,22,1,2021
126,3,307,71,5,6,2021
127,3,307,71,7,3,2021
128,3,307,71,14,2,2021
129,3,307,71,12,2,2021
130,3,307,71,20,1,2021
131,3,307,71,44,1,2021
132,3,307,71,17,4,2021
133,3,307,71,15,5,2021
134,3,307,53,25,5,2021
135,3,307,71,6,0,2021
136,3,307,71,6,0,2021
137,3,307,44,6,0,2021
138,3,307,71,8,1,2021
139,3,307,53,11,3,2021
140,3,307,43,2,6,2021
141,3,307,43,1,4,2021
142,3,307,43,0,6,2021
143,3,307,43,0,2,2021
144,3,307,43,3,6,2021
145,3,307,71,22,1,2021
146,3,307,71,11,1,2021
147,3,307,71,12,0,2021
148,3,307,43,15,19,2021
149,3,307,43,14,6,2021
150,3,305,43,17,3,2021
151,3,305,43,21,0,2021
152,3,305,81,27,0,2021
153,3,305,81,28,4,2021
154,3,305,43,13,1,2021
155,3,305,43,9,0,2021
156,3,305,43,140,14,2021
157,3,305,81,112,14,2021
158,3,305,43,81,6,2021
159,3,305,81,57,5,2021
160,3,305,43,20,1,2021
161,3,305,81,18,7,2021
162,3,305,43,42,3,2021
163,3,305,43,20,1,2021
164,3,305,43,26,0,2021
165,3,306,22,89,6,2021
166,3,306,22,93,56,2021
167,3,306,22,98,9,2021
168,3,306,22,42,13,2021
169,3,306,22,17,0,2021
170,3,306,34,111,17,2021
171,3,306,34,84,15,2021
172,3,306,34,29,2,2021
173,3,306,22,12,8,2021
174,3,306,22,27,3,2021
175,3,306,22,30,5,2021
176,3,306,22,48,10,2021
177,3,306,22,14,3,2021
178,3,306,34,78,18,2021
179,3,306,34,87,8,2021
180,3,306,34,9,0,2021
181,3,306,22,12,1,2021
182,3,306,22,24,3,2021
183,3,306,22,64,4,2021
184,3,306,22,21,12,2021
185,3,306,22,47,10,2021
186,3,306,22,41,5,2021
187,3,306,22,19,6,2021
188,3,306,22,15,5,2021
189,3,306,22,26,4,2021
190,3,306,22,18,0,2021
191,3,306,22,14,3,2021
192,3,306,22,32,4,2021
193,3,306,22,32,6,2021
194,3,306,22,38,5,2021
195,3,306,22,15,3,2021
196,3,306,22,8,0,2021
197,3,306,22,15,2,2021
198,3,306,22,19,1,2021
199,3,306,34,72,8,2021
200,3,306,34,11,8,2021
201,3,306,34,10,1,2021
202,3,306,22,12,5,2021
203,3,306,22,51,13,2021
204,3,306,22,10,7,2021
205,3,306,22,20,4,2021
206,3,306,22,20,4,2021
207,3,306,22,23,3,2021
208,3,306,22,36,1,2021
209,3,306,22,34,1,2021
210,3,306,22,6,0,2021
211,3,306,22,16,2,2021
212,3,306,22,16,2,2021
213,3,306,22,16,2,2021
214,3,306,22,3,2,2021
215,3,306,22,14,5,2021
216,3,306,22,9,1,2021
217,3,306,34,46,6,2021
218,3,306,34,15,2,2021
219,3,306,34,18,3,2021
220,3,306,22,6,4,2021
221,3,306,22,48,21,2021
222,3,306,34,18,1,2021
223,3,306,34,23,7,2021
224,3,306,22,0,0,2021
225,3,306,22,6,0,2021
226,3,306,22,17,0,2021
227,3,306,22,17,0,2021
228,3,306,22,52,20,2021
229,3,306,22,43,4,2021
230,3,306,22,13,3,2021
231,3,306,22,43,4,2021
232,3,306,34,46,10,2021
233,3,306,34,37,8,2021
234,3,306,34,26,0,2021
235,3,306,34,42,1,2021
236,3,306,22,35,15,2021
237,3,306,22,60,8,2021
238,3,306,22,16,4,2021
239,3,306,22,36,2,2021
240,3,306,22,2,7,2021
241,3,306,22,7,5,2021
242,3,306,22,1,2,2021
243,3,306,22,3,4,2021
244,3,306,22,11,5,2021
245,3,306,22,4,1,2021
246,3,306,22,3,2,2021
247,3,306,22,9,4,2021
248,3,306,22,6,3,2021
249,3,306,22,4,0,2021
250,3,306,22,14,7,2021
251,3,306,22,13,5,2021
252,3,306,22,10,11,2021
