_id,etablissement_code,university_code,label_ar,label_fr,website,gouvernorat,type,lat,lon
1,1306,13,المعهد العالي للدراسات التكنولوجية بباجة,Institut Supérieur des Etudes Technologiques de Béja,isetbeja.wordpress.com,Béja,Public,36.73009993310565,9.202203885886496
2,1321,13,المعهد العالي للدراسات التكنولوجية بنزرت,Institut Supérieur des Etudes Technologiques de Bizerte,isetbz.rnu.tn,Bizerte,Public,37.23572203211368,9.885430884234594
3,1301,13,المعهد العالي للدراسات التكنولوجية بالشرقية,Institut Supérieur des Etudes Technologiques de Charguia,isetch.rnu.tn,Ariana,Public,36.85129121672034,10.211684906763454
4,1316,13,المعهد العالي للدراسات التكنولوجية بقابس,Institut Supérieur des Etudes Technologiques de Gabès,isetgb.rnu.tn,Gabès,Public,33.86416397969313,10.102780125423761
5,1319,13,المعهد العالي للدراسات التكنولوجية بقفصة,Institut Supérieur des Etudes Technologiques de Gafsa,isetgf.rnu.tn,Gafsa,Public,34.42990381420266,8.762775239332587
6,1309,13,المعهد العالي للدراسات التكنولوجية بجندوبة,Institut Supérieur des Etudes Technologiques de Jendouba,isetj.rnu.tn,Jendouba,Public,36.50679001620653,8.759643719253052
7,1308,13,المعهد العالي للدراسات التكنولوجية بجربة,Institut Supérieur des Etudes Technologiques de Jerba,isetjb.rnu.tn,Médenine,Public,33.81804187368521,10.973185459651953
8,1303,13,المعهد العالي للدراسات التكنولوجية بالقيروان,Institut Supérieur des Etudes Technologiques de Kairouan,isetkr.rnu.tn,Kairouan,Public,35.598328181584,10.06347416748433
9,1302,13,المعهد العالي للدراسات التكنولوجية بالقصرين,Institut Supérieur des Etudes Technologiques de Kasserine,isetks.rnu.tn,Kasserine,Public,35.16693941371468,8.779597519819408
10,1317,13,المعهد العالي للدراسات التكنولوجية بقبلي,Institut Supérieur des Etudes Technologiques de Kebili,isetke.rnu.tn,Kébili,Public,33.733586474517814,8.986248612113236
11,1325,13,المعهد العالي للدراسات التكنولوجية بقليبية,Institut Supérieur des Etudes Technologiques de Kélibia,isetkl.rnu.tn,Nabeul,Public,36.853181460933314,11.059341090106049
12,1318,13,المعهد العالي للدراسات التكنولوجية بقصر هلال,Institut Supérieur des Etudes Technologiques de Ksar Hellal,isetkh.rnu.tn,Monastir,Public,35.652942763685864,10.889368890129157
13,1305,13,المعهد العالي للدراسات التكنولوجية بالمهدية,Institut Supérieur des Etudes Technologiques de Mahdia,isetma.rnu.tn,Mahdia,Public,35.52275560773197,11.031277440961647
14,1323,13,المعهد العالي للدراسات التكنولوجية مدنين,Institut Supérieur des Etudes Technologiques de Médenine,isetmd.rnu.tn,Médenine,Public,33.49740219213981,10.644278727626956
15,1320,13,المعهد العالي للدراسات التكنولوجية بنابل,Institut Supérieur des Etudes Technologiques de Nabeul,isetn.rnu.tn,Nabeul,Public,36.43659337999381,10.676887663932606
16,1310,13,المعهد العالي للدراسات التكنولوجية برادس,Institut Supérieur des Etudes Technologiques de Rades,isetr.rnu.tn,Ben Arous,Public,36.76059240115886,10.271036927743939
17,1315,13,المعهد العالي للدراسات التكنولوجية بصفاقس,Institut Supérieur des Etudes Technologiques de Sfax,isetsf.rnu.tn,Sfax,Public,34.758311842969846,10.771355681149776
18,1314,13,المعهد العالي للدراسات التكنولوجية بسيدي بوزيد,Institut Supérieur des Etudes Technologiques de Sidi Bouzid,isetsbz.rnu.tn,Sidi Bouzid,Public,35.029024107142035,9.458727220734803
19,1312,13,المعهد العالي للدراسات التكنولوجية بسليانة,Institut Supérieur des Etudes Technologiques de Siliana,https://isetsl.rnu.tn/,Siliana,Public,36.076365235794896,9.38245622416482
20,1313,13,المعهد العالي للدراسات التكنولوجية بسوسة,Institut Supérieur des Etudes Technologiques de Sousse,isetso.rnu.tn,Sousse,Public,35.802275038005796,10.614493652391715
21,1307,13,المعهد العالي للدراسات التكنولوجية بتطاوين,Institut Supérieur des Etudes Technologiques de Tataouine,isetta.rnu.tn,Tataouine,Public,32.949939611003025,10.474754568359963
22,1322,13,المعهد العالي للدراسات التكنولوجية توزر,Institut Supérieur des Etudes Technologiques de Tozeur,isett.rnu.tn,Tozeur,Public,33.91615448238502,8.08834607374582
23,1311,13,المعهد العالي للدراسات التكنولوجية بزغوان,Institut Supérieur des Etudes Technologiques de Zaghouan,isetzg.rnu.tn,Zaghouan,Public,36.43364731443301,10.092293480901656
24,1304,13,المعهد العالي للدراسات التكنولوجية بالكاف,Institut Supérieur des Etudes Technologiques du Kef,isetkf.rnu.tn,Le Kef,Public,36.12466456317538,8.724899951190796
25,1324,13,المعهد العالي للدراسات التكنولوجية مواصلات,Institut Supérieur des Etudes Technologiques en Communications de Tunis,www.isetcom.tn,Ariana,Public,36.8910302576336,10.184364025642822
26,422,4,المدرسة الوطنية للهندسة المعمارية والتعمير,Ecole Nationale d'Architecture et d'Urbanisme de Tunis,www.enau.rnu.tn,Tunis,Public,36.87274779508976,10.338539210885232
27,433,4,المدرسة الوطنية للعلوم والتكنولوجيات المتقدمة ببرج السدرية,Ecole Nationale des Sciences et Technologies Avancées de Borj Cédria,www.enstab.rnu.tn,Nabeul,Public,36.70788156253631,10.427547288131262
28,431,4,المدرسة الوطنية للمهندسين ببنزرت,Ecole Nationale d'Ingénieurs de Bizerte,enib.tn,Bizerte,Public,37.23499271996277,9.884640209679056
29,428,4,المدرسة الوطنية للمهندسين بقرطاج,Ecole Nationale d'Ingénieurs de Carthage,enicarthage.rnu.tn,Ariana,Public,36.85181087235165,10.211349609953688
30,430,4,المدرسة التونسية للتقنيات,Ecole Polytechnique de Tunisie,www.ept.rnu.tn,Tunis,Public,36.87946633179844,10.33640017641931
31,425,4,المدرسـة العليا للفلاحــة بـماطـر,Ecole Supérieure d'Agriculture de Mateur,esamateur.agrinet.tn/index.php/fr/,Bizerte,Public,37.05205748305532,9.62125104012608
32,424,4,المدرسـة العليا للفلاحـة بمقـرن,Ecole Supérieure d'Agriculture de Mograne,esamograne.agrinet.tn,Zaghouan,Public,36.426324228633604,10.095044093411246
33,427,4,المدرسة العليا للسمعي البصري والسينما بقمرت,Ecole Supérieure de l'Audiovisuel et du Cinéma de Gammarth,www.esac.rnu.tn,Tunis,Public,36.8995872483749,10.312115608948105
34,423,4,المدرسة العليا للمواصلات بتونس,Ecole Supérieure des Communications de Tunis,supcom.tn,Ariana,Public,36.89208150458829,10.18746280390686
35,426,4,المـدرسة العليا للصناعات الغذائيــة بتونس,Ecole Supérieure des Industries Alimentaires de Tunis,esiat.agrinet.tn,Tunis,Public,36.83149658789578,10.188141620904872
36,429,4,المدرسة العليا للإحصاء وتحليل المعلومات,Ecole Supérieure des Statistiques et d'Analyse de l'Information,essai.rnu.tn,Ariana,Public,36.85763989108804,10.209579677291128
37,401,4,كلية العلــوم ببنزرت,Faculté des Sciences de Bizerte,www.fsb.rnu.tn,Bizerte,Public,37.268148693329046,9.879468541737548
38,403,4,كلية العلوم الإقتصادية والتصرف بنابل,Faculté des Sciences Economiques et de Gestion de Nabeul,www.fsegn.rnu.tn,Nabeul,Public,36.43463442960473,10.6891382392328
39,402,4,كلية العلوم القانونية والسياسية والاجتماعية بتونس,Faculté des Sciences Juridiques Politiques et Sociales de Tunis,www.fsjpst.rnu.tn,Tunis,Public,36.845506934796,10.187244342700723
40,404,4,معهد الدراسات العليا التجارية بقرطاج,Institut des Hautes Etudes Commerciales de Carthage,www.ihec.rnu.tn,Tunis,Public,36.86284730119126,10.33733397110563
41,406,4,المعهد الوطني للعلوم الفلاحية بتونس,Institut National Agronomique de Tunisie,inat.tn/fr,Tunis,Public,36.82788795140715,10.18082928720551
