_id,domain_code,domaine_ar,domaine_fr
1,22,آداب,Lettres
2,31,أعمال تجارية وإدارة,Affaires commerciales et administratives
3,11,تكوين المكونين وعلوم التربية,Formation des formateurs et sciences de l’éducation
4,32,حقوق,Droit
5,81,حماية المحيط,Protection de l’environnement
6,72,خدمات إجتماعية,Services sociaux
7,82,خدمات النقل,Services de transport
8,83,خدمات خاصة للأشخاص,Services aux particuliers
9,41,رياضيات وإحصاء,Mathématiques et statistiques
10,33,صحافة وعلوم الاخبار,Journalisme et sciences de l’information
11,71,صحة,Santé
12,51,صناعات تحويلية وصناعات معالجة,Industrie de transformation et de traitement
13,34,علوم اجتماعية وسلوكيات,Sciences sociales et du comportement
14,42,علوم الإعلامية والملتيميديا,Sciences  informatique et multimédia
15,43,علوم الحياة,Sciences de la vie
16,61,علوم بيطرية,Sciences vétérinaires
17,44,علوم فيزيائية,Sciences physiques
18,62,فلاحة، غابات وصيد بحري,Agriculture sylviculture et halieutique
19,21,فنون,Arts 
20,52,هندسة التعمير والبناءات,Architecture et bâtiment
21,53,هندسة وتقنيات مماثلة,Ingénierie et techniques apparentées
